"Area","Year","Month","Severity","Count","AreaPopulation","LengthofMotorway","LengthRuralARoad","LengthUrbanARoad","LengthRuralBRoad","LengthUrbanBRoad","LengthRuralCorURoad","LengthUrbanCorURoad","TotalRoadLength","Longitude","Latitude","AreaSize"
"Blaenau Gwent",2019,"7","1",2,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"8","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"9","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"10","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"11","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"12","1",1,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Bolton",2019,"1","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"2","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"3","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"4","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"5","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"6","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"7","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"8","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"9","1",4,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"10","1",1,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"11","1",0,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bolton",2019,"12","1",1,294888,10.7,16.3,48.5,6.4,23.5,41.5,475.9,622.8,-2.47952,53.5845,139783107.641617
"Bournemouth, Christchurch and Poole",2019,"1","1",2,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"2","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"3","1",2,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"4","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"5","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"6","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"7","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"8","1",1,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"9","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"10","1",1,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"11","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bournemouth, Christchurch and Poole",2019,"12","1",0,400182,0,14.9,46.1,6.5,29.5,33.5,656.8,789.4,-1.84807,50.7461,173952331.706184
"Bracknell Forest",2019,"1","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"2","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"3","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"4","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"5","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"6","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"7","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"8","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"9","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"10","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"11","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bracknell Forest",2019,"12","1",0,121660,0.6,19.4,12.4,16.1,10.5,45.5,190.4,294.9,-0.73364,51.4113,109373994.12104
"Bradford",2019,"1","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"2","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"3","1",0,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"4","1",0,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"5","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"6","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"7","1",0,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"8","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"9","1",2,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"10","1",0,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"11","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Bradford",2019,"12","1",1,545966,1.7,31.1,63.4,19.4,29.5,214.9,773.2,1133.2,-1.87389,53.8438,366388606.158478
"Brent",2019,"1","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"2","1",1,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"3","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"4","1",2,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"5","1",1,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"6","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"7","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"8","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"9","1",1,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"10","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"11","1",0,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Brent",2019,"12","1",1,347424,0,0,34.7,0,9.3,0,244.3,288.3,-0.27568,51.5644,43236365.6387024
"Bridgend",2019,"1","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"2","1",1,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"3","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"4","1",1,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"5","1",1,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"6","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"7","1",1,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"8","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"9","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"10","1",1,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"11","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Bridgend",2019,"12","1",0,144500,11,44.8,18.2,9.8,8.4,179.2,235.3,506.8,-3.61375,51.5606,255120807.236393
"Brighton and Hove",2019,"1","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"2","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"3","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"4","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"5","1",1,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"6","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
"Brighton and Hove",2019,"7","1",0,279920,0,4.7,24,1.6,12.7,18.1,315,385.1,-0.15081,50.8465,85371498.4019852
